best_so_far_auc,dataset,final_best,mode,seed,simple_regret,top10_hit
89.2287,real_chemlex_acidamine,100.0,llm_direct_prior_random_rule_r3_acid_amine_coupling_hypothesis,42005,0.0,1
89.2287,real_chemlex_acidamine,100.0,llm_direct_prior_random_rule_r3_amine_aromatic_interaction_hypothesis,42005,0.0,1
88.6713,real_chemlex_acidamine,95.54,llm_direct_prior_random_rule_r3_amine_branching_effect_hypothesis,42005,4.46,0
89.15,real_chemlex_acidamine,90.61,llm_direct_prior_random_rule_r3_aromatic_acid_amine_interaction_hypothesis,42005,9.39,0
91.9287,real_chemlex_acidamine,96.17,llm_direct_prior_random_rule_r3_reagent_effect_on_conversion_hypothesis,42005,3.83,0
89.6525,real_chemlex_acidamine,95.54,llm_direct_prior_reagent_effect_on_conversion_hypothesis,42005,4.46,0
90.36,real_chemlex_acidamine,97.66,mixed_kernel_gp_ei,42005,2.34,0
88.72,real_chemlex_acidamine,92.65,gp_ucb,42006,7.35,0
63.1625,real_chemlex_acidamine,92.85,llm_direct_prior_acid_amine_coupling_hypothesis,42006,7.15,0
45.3888,real_chemlex_acidamine,93.55,llm_direct_prior_amine_aromatic_interaction_hypothesis,42006,6.45,0
76.0525,real_chemlex_acidamine,95.54,llm_direct_prior_amine_branching_effect_hypothesis,42006,4.46,0
66.345,real_chemlex_acidamine,100.0,llm_direct_prior_aromatic_acid_amine_interaction_hypothesis,42006,0.0,0
43.6675,real_chemlex_acidamine,75.78,llm_direct_prior_random_rule_r1_acid_amine_coupling_hypothesis,42006,24.22,0
64.185,real_chemlex_acidamine,82.34,llm_direct_prior_random_rule_r1_amine_aromatic_interaction_hypothesis,42006,17.66,0
76.0525,real_chemlex_acidamine,95.54,llm_direct_prior_random_rule_r1_amine_branching_effect_hypothesis,42006,4.46,0
76.0525,real_chemlex_acidamine,95.54,llm_direct_prior_random_rule_r1_aromatic_acid_amine_interaction_hypothesis,42006,4.46,0
80.485,real_chemlex_acidamine,86.6,llm_direct_prior_random_rule_r1_reagent_effect_on_conversion_hypothesis,42006,13.4,0
64.185,real_chemlex_acidamine,82.34,llm_direct_prior_random_rule_r2_acid_amine_coupling_hypothesis,42006,17.66,0
61.2338,real_chemlex_acidamine,82.34,llm_direct_prior_random_rule_r2_amine_aromatic_interaction_hypothesis,42006,17.66,0
76.0525,real_chemlex_acidamine,95.54,llm_direct_prior_random_rule_r2_amine_branching_effect_hypothesis,42006,4.46,0
86.6325,real_chemlex_acidamine,95.54,llm_direct_prior_random_rule_r2_aromatic_acid_amine_interaction_hypothesis,42006,4.46,0
76.0525,real_chemlex_acidamine,95.54,llm_direct_prior_random_rule_r2_reagent_effect_on_conversion_hypothesis,42006,4.46,0
64.185,real_chemlex_acidamine,82.34,llm_direct_prior_random_rule_r3_acid_amine_coupling_hypothesis,42006,17.66,0
86.6325,real_chemlex_acidamine,95.54,llm_direct_prior_random_rule_r3_amine_aromatic_interaction_hypothesis,42006,4.46,0
76.0525,real_chemlex_acidamine,95.54,llm_direct_prior_random_rule_r3_amine_branching_effect_hypothesis,42006,4.46,0
57.4013,real_chemlex_acidamine,95.54,llm_direct_prior_random_rule_r3_aromatic_acid_amine_interaction_hypothesis,42006,4.46,0
65.1887,real_chemlex_acidamine,74.47,llm_direct_prior_random_rule_r3_reagent_effect_on_conversion_hypothesis,42006,25.53,0
76.0525,real_chemlex_acidamine,95.54,llm_direct_prior_reagent_effect_on_conversion_hypothesis,42006,4.46,0
88.72,real_chemlex_acidamine,92.65,mixed_kernel_gp_ei,42006,7.35,0
72.5837,real_chemlex_acidamine,76.0,gp_ucb,42007,24.0,0
47.7987,real_chemlex_acidamine,61.75,llm_direct_prior_acid_amine_coupling_hypothesis,42007,38.25,0
61.995,real_chemlex_acidamine,81.09,llm_direct_prior_amine_aromatic_interaction_hypothesis,42007,18.91,0
70.1575,real_chemlex_acidamine,80.0,llm_direct_prior_amine_branching_effect_hypothesis,42007,20.0,0
70.1575,real_chemlex_acidamine,80.0,llm_direct_prior_aromatic_acid_amine_interaction_hypothesis,42007,20.0,0
80.0,real_chemlex_acidamine,80.0,llm_direct_prior_random_rule_r1_acid_amine_coupling_hypothesis,42007,20.0,0
70.1575,real_chemlex_acidamine,80.0,llm_direct_prior_random_rule_r1_amine_aromatic_interaction_hypothesis,42007,20.0,0
70.1575,real_chemlex_acidamine,80.0,llm_direct_prior_random_rule_r1_amine_branching_effect_hypothesis,42007,20.0,0
70.1575,real_chemlex_acidamine,80.0,llm_direct_prior_random_rule_r1_aromatic_acid_amine_interaction_hypothesis,42007,20.0,0
57.7625,real_chemlex_acidamine,95.0,llm_direct_prior_random_rule_r1_reagent_effect_on_conversion_hypothesis,42007,5.0,0
70.1575,real_chemlex_acidamine,80.0,llm_direct_prior_random_rule_r2_acid_amine_coupling_hypothesis,42007,20.0,0
49.125,real_chemlex_acidamine,75.17,llm_direct_prior_random_rule_r2_amine_aromatic_interaction_hypothesis,42007,24.83,0
24.385,real_chemlex_acidamine,38.26,llm_direct_prior_random_rule_r2_amine_branching_effect_hypothesis,42007,61.74,0
70.1575,real_chemlex_acidamine,80.0,llm_direct_prior_random_rule_r2_aromatic_acid_amine_interaction_hypothesis,42007,20.0,0
70.1575,real_chemlex_acidamine,80.0,llm_direct_prior_random_rule_r2_reagent_effect_on_conversion_hypothesis,42007,20.0,0
70.1575,real_chemlex_acidamine,80.0,llm_direct_prior_random_rule_r3_acid_amine_coupling_hypothesis,42007,20.0,0
70.1575,real_chemlex_acidamine,80.0,llm_direct_prior_random_rule_r3_amine_aromatic_interaction_hypothesis,42007,20.0,0
70.1575,real_chemlex_acidamine,80.0,llm_direct_prior_random_rule_r3_amine_branching_effect_hypothesis,42007,20.0,0
70.1575,real_chemlex_acidamine,80.0,llm_direct_prior_random_rule_r3_aromatic_acid_amine_interaction_hypothesis,42007,20.0,0
47.555,real_chemlex_acidamine,96.8,llm_direct_prior_random_rule_r3_reagent_effect_on_conversion_hypothesis,42007,3.2,0
70.1575,real_chemlex_acidamine,80.0,llm_direct_prior_reagent_effect_on_conversion_hypothesis,42007,20.0,0
97.99,real_chemlex_acidamine,97.99,mixed_kernel_gp_ei,42007,2.01,0
80.75,real_chemlex_acidamine,85.4,gp_ucb,42008,14.6,0
89.4537,real_chemlex_acidamine,92.69,llm_direct_prior_acid_amine_coupling_hypothesis,42008,7.31,0
83.075,real_chemlex_acidamine,85.4,llm_direct_prior_amine_aromatic_interaction_hypothesis,42008,14.6,0
84.3425,real_chemlex_acidamine,95.54,llm_direct_prior_amine_branching_effect_hypothesis,42008,4.46,0
84.5275,real_chemlex_acidamine,97.02,llm_direct_prior_aromatic_acid_amine_interaction_hypothesis,42008,2.98,0
70.7987,real_chemlex_acidamine,71.37,llm_direct_prior_random_rule_r1_acid_amine_coupling_hypothesis,42008,28.63,0
83.075,real_chemlex_acidamine,85.4,llm_direct_prior_random_rule_r1_amine_aromatic_interaction_hypothesis,42008,14.6,0
84.3425,real_chemlex_acidamine,95.54,llm_direct_prior_random_rule_r1_amine_branching_effect_hypothesis,42008,4.46,0
84.3425,real_chemlex_acidamine,95.54,llm_direct_prior_random_rule_r1_aromatic_acid_amine_interaction_hypothesis,42008,4.46,0
98.3275,real_chemlex_acidamine,100.0,llm_direct_prior_random_rule_r1_reagent_effect_on_conversion_hypothesis,42008,0.0,0
83.075,real_chemlex_acidamine,85.4,llm_direct_prior_random_rule_r2_acid_amine_coupling_hypothesis,42008,14.6,0
87.99,real_chemlex_acidamine,92.69,llm_direct_prior_random_rule_r2_amine_aromatic_interaction_hypothesis,42008,7.31,0
84.37,real_chemlex_acidamine,95.76,llm_direct_prior_random_rule_r2_amine_branching_effect_hypothesis,42008,4.24,0
84.3425,real_chemlex_acidamine,95.54,llm_direct_prior_random_rule_r2_aromatic_acid_amine_interaction_hypothesis,42008,4.46,0
84.3425,real_chemlex_acidamine,95.54,llm_direct_prior_random_rule_r2_reagent_effect_on_conversion_hypothesis,42008,4.46,0
83.075,real_chemlex_acidamine,85.4,llm_direct_prior_random_rule_r3_acid_amine_coupling_hypothesis,42008,14.6,0
83.075,real_chemlex_acidamine,85.4,llm_direct_prior_random_rule_r3_amine_aromatic_interaction_hypothesis,42008,14.6,0
84.3425,real_chemlex_acidamine,95.54,llm_direct_prior_random_rule_r3_amine_branching_effect_hypothesis,42008,4.46,0
83.075,real_chemlex_acidamine,85.4,llm_direct_prior_random_rule_r3_aromatic_acid_amine_interaction_hypothesis,42008,14.6,0
90.6725,real_chemlex_acidamine,96.13,llm_direct_prior_random_rule_r3_reagent_effect_on_conversion_hypothesis,42008,3.87,0
84.3425,real_chemlex_acidamine,95.54,llm_direct_prior_reagent_effect_on_conversion_hypothesis,42008,4.46,0
80.75,real_chemlex_acidamine,85.4,mixed_kernel_gp_ei,42008,14.6,0
27.0175,real_chemlex_acidamine,42.45,gp_ucb,42009,57.55,0
72.8825,real_chemlex_acidamine,92.59,llm_direct_prior_acid_amine_coupling_hypothesis,42009,7.41,0
63.1487,real_chemlex_acidamine,86.98,llm_direct_prior_amine_aromatic_interaction_hypothesis,42009,13.02,0
74.2413,real_chemlex_acidamine,86.98,llm_direct_prior_amine_branching_effect_hypothesis,42009,13.02,0
0.0,real_chemlex_acidamine,0.0,llm_direct_prior_aromatic_acid_amine_interaction_hypothesis,42009,100.0,0
40.2712,real_chemlex_acidamine,55.985,llm_direct_prior_random_rule_r1_acid_amine_coupling_hypothesis,42009,44.015,0
61.7225,real_chemlex_acidamine,86.98,llm_direct_prior_random_rule_r1_amine_aromatic_interaction_hypothesis,42009,13.02,0
61.7225,real_chemlex_acidamine,86.98,llm_direct_prior_random_rule_r1_amine_branching_effect_hypothesis,42009,13.02,0
61.7225,real_chemlex_acidamine,86.98,llm_direct_prior_random_rule_r1_aromatic_acid_amine_interaction_hypothesis,42009,13.02,0
50.74,real_chemlex_acidamine,86.1,llm_direct_prior_random_rule_r1_reagent_effect_on_conversion_hypothesis,42009,13.9,0
25.8875,real_chemlex_acidamine,41.42,llm_direct_prior_random_rule_r2_acid_amine_coupling_hypothesis,42009,58.58,0
0.0,real_chemlex_acidamine,0.0,llm_direct_prior_random_rule_r2_amine_aromatic_interaction_hypothesis,42009,100.0,0
