source_datasets,target_dataset,mode,seed,initial_observations,reveal_rounds,final_best,best_so_far_auc,simple_regret,top10_hit,source_task_count,source_observations
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_icm_bma,93021,3,12,75.9277,66.4627,17.1463,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_skill_prior,93021,3,12,72.4432,66.5231,20.6308,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,target_gp_ucb,93022,3,12,88.7493,87.077842,4.3247,1,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_rgpe,93022,3,12,62.0592,60.431925,31.0148,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_icm_bma,93022,3,12,88.7493,83.499183,4.3247,1,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_skill_prior,93022,3,12,44.6849,42.711317,48.3891,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,target_gp_ucb,93023,3,12,93.074,90.92305,0.0,1,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_rgpe,93023,3,12,62.0592,62.0592,31.0148,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_icm_bma,93023,3,12,84.9713,73.306458,8.1027,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_skill_prior,93023,3,12,57.0126,57.0126,36.0614,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,target_gp_ucb,93024,3,12,91.0967,84.802433,1.9773,1,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_rgpe,93024,3,12,65.7033,65.7033,27.3707,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_icm_bma,93024,3,12,91.0967,82.686317,1.9773,1,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_skill_prior,93024,3,12,65.7033,65.7033,27.3707,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,target_gp_ucb,93025,3,12,83.0735,75.418283,10.0005,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_rgpe,93025,3,12,73.8554,67.141008,19.2186,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_icm_bma,93025,3,12,81.6666,75.465467,11.4074,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_skill_prior,93025,3,12,71.1022,69.410767,21.9718,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,target_gp_ucb,93026,3,12,78.595,67.048175,14.479,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_rgpe,93026,3,12,61.3382,57.488717,31.7358,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_icm_bma,93026,3,12,85.8185,81.853733,7.2555,1,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_skill_prior,93026,3,12,45.6814,45.061392,47.3926,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,target_gp_ucb,93027,3,12,82.0224,81.34415,11.0516,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_rgpe,93027,3,12,73.8554,69.2256,19.2186,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_icm_bma,93027,3,12,84.7378,78.770292,8.3362,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_skill_prior,93027,3,12,70.0099,67.564283,23.0641,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,target_gp_ucb,93028,3,12,82.6119,82.610642,10.4621,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_rgpe,93028,3,12,61.3382,59.002383,31.7358,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_icm_bma,93028,3,12,82.6119,82.545675,10.4621,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_skill_prior,93028,3,12,47.3233,47.3233,45.7507,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,target_gp_ucb,93029,3,12,85.8185,85.2247,7.2555,1,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_rgpe,93029,3,12,65.3434,65.3434,27.7306,0,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_icm_bma,93029,3,12,85.8185,83.518442,7.2555,1,2,1024
real_flip2_hydro_p01053;real_flip2_hydro_p0a9x9,real_flip2_hydro_p06241,multisource_skill_prior,93029,3,12,65.3434,65.3434,27.7306,0,2,1024
