condition,permutation_seed,auc_mean_delta,auc_ci95_low,auc_ci95_high,final_mean_delta,final_ci95_low,final_ci95_high,top10_mean_delta,top10_ci95_low,top10_ci95_high,wins,ties,losses
permuted_source_outcomes_98127,98127,-0.03352761220962626,-0.14849776282251698,0.08144253840326447,-0.3725390046746084,-0.6040592508872847,-0.14101875846193201,-0.16,-0.23221677803878427,-0.08778322196121575,52,11,37
permuted_source_outcomes_98128,98128,0.1277554047705993,0.005847260502427926,0.24966354903877067,0.1520007055274732,-0.11013695976442117,0.41413837081936755,-0.16,-0.23221677803878427,-0.08778322196121575,49,12,39
permuted_source_outcomes_98129,98129,1.491235230708398,1.293312375807253,1.6891580856095432,1.5755995006802122,1.2905670901012751,1.8606319112591492,0.53,0.4240837685677588,0.6359162314322412,88,8,4
permuted_source_outcomes_98130,98130,0.17667256441949064,0.05267874175937842,0.30066638707960286,-0.07023391188083095,-0.31439337235881326,0.17392554859715134,-0.16,-0.23221677803878427,-0.08778322196121575,58,10,32
permuted_source_outcomes_98131,98131,0.8828930257470468,0.6804233910837953,1.0853626604102982,1.1233433301292248,0.8108085329976136,1.435878127260836,0.39,0.27893333333333337,0.5010666666666667,76,6,18
permuted_source_outcomes_98132,98132,0.23282626759196717,0.10949680840550673,0.3561557267784276,-0.08798503918372987,-0.3278405212018889,0.1518704428344292,-0.16,-0.23221677803878427,-0.08778322196121575,60,13,27
permuted_source_outcomes_98133,98133,-0.0608986608892831,-0.17236445673287856,0.050567134954312365,-0.4233036171420046,-0.672028888700067,-0.17457834558394214,-0.16,-0.23221677803878427,-0.08778322196121575,48,14,38
permuted_source_outcomes_98134,98134,0.19131146026418133,0.06924935256455174,0.31337356796381094,-0.12007501605679302,-0.34534486960720756,0.10519483749362152,-0.16,-0.23221677803878427,-0.08778322196121575,59,10,31
permuted_source_outcomes_98135,98135,-0.17070825299415837,-0.2772575496759718,-0.06415895631234492,-0.627702813419474,-0.8709228511334173,-0.38448277570553074,-0.16,-0.23221677803878427,-0.08778322196121575,39,17,44
permuted_source_outcomes_98136,98136,0.16102562718729746,0.04770499331969419,0.27434626105490073,-0.13640456479517535,-0.3584961641837743,0.08568703459342358,-0.16,-0.23221677803878427,-0.08778322196121575,62,13,25
permuted_source_outcomes_98137,98137,-0.0015710759695975551,-0.1196000688157602,0.11645791687656508,-0.2781955404903634,-0.5155948200190006,-0.04079626096172623,-0.16,-0.23221677803878427,-0.08778322196121575,45,14,41
permuted_source_outcomes_98138,98138,-0.10313467708259048,-0.21554825573823977,0.009278901573058787,-0.48219044942917383,-0.7286598814441854,-0.23572101741416235,-0.16,-0.23221677803878427,-0.08778322196121575,43,16,41
permuted_source_outcomes_98139,98139,0.4570066428858918,0.300494422376636,0.6135188633951476,0.7009271942182136,0.39816807041516983,1.0036863180212574,0.23,0.12262830724981372,0.3373716927501863,69,8,23
permuted_source_outcomes_98140,98140,-0.1182444968848379,-0.22559909212756457,-0.010889901642111247,-0.5209081298519888,-0.7541298811047361,-0.2876863785992414,-0.16,-0.23221677803878427,-0.08778322196121575,46,16,38
permuted_source_outcomes_98141,98141,-0.0961916405913689,-0.2335745975474557,0.0411913163647179,-0.5100978237877332,-0.7776962479831506,-0.24249939959231565,-0.16,-0.23221677803878427,-0.08778322196121575,34,13,53
permuted_source_outcomes_98142,98142,0.04594068404400864,-0.06546836517492718,0.15734973326294446,-0.09707425633779965,-0.33879369353079103,0.14464518085519174,-0.15,-0.22565445102302942,-0.07434554897697057,59,10,31
permuted_source_outcomes_98143,98143,-0.043950673895858154,-0.1508941164569353,0.062992768665219,-0.3505636200476564,-0.5956254715818029,-0.1055017685135099,-0.16,-0.23221677803878427,-0.08778322196121575,50,12,38
permuted_source_outcomes_98144,98144,-0.19431574615162983,-0.29933778795602517,-0.08929370434723452,-0.5480507534844867,-0.7921442789104126,-0.30395722805856085,-0.16,-0.23221677803878427,-0.08778322196121575,29,15,56
