best_so_far_auc,dataset,final_best,mode,seed,simple_regret,top10_hit
72.3122,real_moleculenet_freesolv_continuous,72.3122,llm_direct_prior_random_rule_r2_hydrogen_bonding_effect,44005,26.0479,0
72.3122,real_moleculenet_freesolv_continuous,72.3122,llm_direct_prior_random_rule_r2_ring_structure_influence,44005,26.0479,0
72.3122,real_moleculenet_freesolv_continuous,72.3122,llm_direct_prior_random_rule_r3_branching_effect_on_solubility,44005,26.0479,0
72.3122,real_moleculenet_freesolv_continuous,72.3122,llm_direct_prior_random_rule_r3_double_bond_restriction,44005,26.0479,0
72.3122,real_moleculenet_freesolv_continuous,72.3122,llm_direct_prior_random_rule_r3_hydrogen_bonding_effect,44005,26.0479,0
72.3122,real_moleculenet_freesolv_continuous,72.3122,llm_direct_prior_random_rule_r3_ring_structure_influence,44005,26.0479,0
72.3122,real_moleculenet_freesolv_continuous,72.3122,llm_direct_prior_ring_structure_influence,44005,26.0479,0
73.4473,real_moleculenet_freesolv_continuous,76.8525,mixed_kernel_gp_ei,44005,21.5076,0
62.3277,real_moleculenet_freesolv_continuous,62.855,gp_ucb,44006,35.5051,0
63.5786,real_moleculenet_freesolv_continuous,70.2661,llm_direct_prior_branching_effect_on_solubility,44006,28.094,0
63.5786,real_moleculenet_freesolv_continuous,70.2661,llm_direct_prior_double_bond_restriction,44006,28.094,0
79.7843,real_moleculenet_freesolv_continuous,93.3018,llm_direct_prior_hydrogen_bonding_effect,44006,5.0583,1
64.2902,real_moleculenet_freesolv_continuous,65.0673,llm_direct_prior_random_rule_r1_branching_effect_on_solubility,44006,33.2928,0
63.5786,real_moleculenet_freesolv_continuous,70.2661,llm_direct_prior_random_rule_r1_double_bond_restriction,44006,28.094,0
60.1988,real_moleculenet_freesolv_continuous,63.5063,llm_direct_prior_random_rule_r1_hydrogen_bonding_effect,44006,34.8538,0
63.5786,real_moleculenet_freesolv_continuous,70.2661,llm_direct_prior_random_rule_r1_ring_structure_influence,44006,28.094,0
63.5786,real_moleculenet_freesolv_continuous,70.2661,llm_direct_prior_random_rule_r2_branching_effect_on_solubility,44006,28.094,0
