dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,transfer_active_rounds,transfer_scored_candidates_total,source_observation_count,mean_transfer_confidence,hypothesis_confidence,hypothesis_support_count
real_suzuki_miyaura,transfer_no_gate,14,94.8183,92.718,5.1817,0,5,2,0,7,25296,48,0.406,0.5,0
real_suzuki_miyaura,transfer_gate_v1,14,94.8183,92.718,5.1817,0,5,2,0,7,25296,48,0.406,0.5,0
real_suzuki_miyaura,transfer_plus_local_gate_v1,14,93.7818,92.0143,6.2182,0,5,2,0,7,25191,48,0.406,0.5,0
real_suzuki_miyaura,no_care_random,15,90.6165,87.884,9.3835,0,0,0,0,0,0,48,0.4199,0.5,0
real_suzuki_miyaura,incumbent,15,92.7651,86.0158,7.2349,0,0,0,0,0,0,48,0.4199,0.5,0
real_suzuki_miyaura,target_local_no_gate,15,92.7651,86.0158,7.2349,0,0,0,0,0,0,48,0.4199,0.5,0
real_suzuki_miyaura,target_local_gate_v1,15,92.7651,86.0158,7.2349,0,0,0,0,0,0,48,0.4199,0.5,0
real_suzuki_miyaura,transfer_no_gate,15,93.516,89.4186,6.484,0,3,0,0,7,27675,48,0.4199,0.5,0
real_suzuki_miyaura,transfer_gate_v1,15,93.516,89.4186,6.484,0,3,0,0,7,27675,48,0.4199,0.5,0
real_suzuki_miyaura,transfer_plus_local_gate_v1,15,93.516,89.4186,6.484,0,3,0,0,7,27675,48,0.4199,0.5,0
real_suzuki_miyaura,no_care_random,16,85.9474,82.31,14.0526,0,0,0,0,0,0,48,0.4418,0.5,0
real_suzuki_miyaura,incumbent,16,98.6922,95.8006,1.3078,1,0,0,0,0,0,48,0.4418,0.5,0
real_suzuki_miyaura,target_local_no_gate,16,98.6922,95.8006,1.3078,1,0,0,0,0,0,48,0.4418,0.5,0
real_suzuki_miyaura,target_local_gate_v1,16,98.6922,95.8006,1.3078,1,0,0,0,0,0,48,0.4418,0.5,0
real_suzuki_miyaura,transfer_no_gate,16,98.6922,95.5554,1.3078,1,2,2,0,7,27165,48,0.4418,0.5,0
