target_dataset,mode,seed,initial_observations,reveal_rounds,initial_candidate_ids,source_datasets,final_best,best_so_far_auc,simple_regret,top10_hit
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93069,3,10,baumgartner_cn_aniline_ephos_016;baumgartner_cn_aniline_ephos_030;baumgartner_cn_aniline_ephos_011,,96.4441,83.57902,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93070,3,10,baumgartner_cn_aniline_ephos_023;baumgartner_cn_aniline_ephos_002;baumgartner_cn_aniline_ephos_020,,96.4441,85.30227,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93071,3,10,baumgartner_cn_aniline_ephos_017;baumgartner_cn_aniline_ephos_010;baumgartner_cn_aniline_ephos_034,,96.4441,96.4441,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93072,3,10,baumgartner_cn_aniline_ephos_007;baumgartner_cn_aniline_ephos_030;baumgartner_cn_aniline_ephos_021,,98.6297,98.6297,0.0,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93073,3,10,baumgartner_cn_aniline_ephos_011;baumgartner_cn_aniline_ephos_002;baumgartner_cn_aniline_ephos_031,,98.6297,96.54888,0.0,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93074,3,10,baumgartner_cn_aniline_ephos_019;baumgartner_cn_aniline_ephos_016;baumgartner_cn_aniline_ephos_000,,96.4441,94.95884,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93075,3,10,baumgartner_cn_aniline_ephos_024;baumgartner_cn_aniline_ephos_014;baumgartner_cn_aniline_ephos_031,,98.6297,94.46806,0.0,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93076,3,10,baumgartner_cn_aniline_ephos_000;baumgartner_cn_aniline_ephos_018;baumgartner_cn_aniline_ephos_031,,98.6297,94.46806,0.0,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93077,3,10,baumgartner_cn_aniline_ephos_026;baumgartner_cn_aniline_ephos_023;baumgartner_cn_aniline_ephos_017,,96.4441,96.4441,2.1856,1
real_baumgartner_cn_aniline_ephos,target_gp_random_initial,93078,3,10,baumgartner_cn_aniline_ephos_010;baumgartner_cn_aniline_ephos_018;baumgartner_cn_aniline_ephos_017,,98.6297,91.41025,0.0,1
