source_dataset,target_dataset,family,mode,policy,seeds,calibration_seeds,heldout_seeds,final_best_mean,final_best_std,best_so_far_auc_mean,best_so_far_auc_std,top10_hit_mean,top10_hit_std,balanced_score,cal_final_best_mean,cal_final_best_std,cal_best_so_far_auc_mean,cal_best_so_far_auc_std,cal_top10_hit_mean,cal_top10_hit_std,cal_balanced_score,heldout_final_best_mean,heldout_final_best_std,heldout_best_so_far_auc_mean,heldout_best_so_far_auc_std,heldout_top10_hit_mean,heldout_top10_hit_std,heldout_balanced_score
real_suzuki_miyaura,real_buchwald_hartwig,weighted_kernel,transfer_weighted_gp_ucb_scale_0p5,weighted_kernel:transfer_weighted_gp_ucb_scale_0p5,50,25,25,90.4219,9.8271,83.074,11.9754,0.28,0.449,173.7759,92.4577,6.3423,87.1488,7.1337,0.32,0.4665,179.9265,88.3861,12.0262,78.9992,14.238,0.24,0.4271,167.6253
real_suzuki_miyaura,real_buchwald_hartwig,weighted_kernel,transfer_weighted_gp_ucb_scale_1,weighted_kernel:transfer_weighted_gp_ucb_scale_1,50,25,25,90.5615,8.8887,82.9086,11.5985,0.22,0.4142,173.6901,92.9552,6.299,87.2273,6.9416,0.32,0.4665,180.5025,88.1677,10.3383,78.5899,13.5485,0.12,0.325,166.8776
real_suzuki_miyaura,real_buchwald_hartwig,weighted_kernel,transfer_weighted_gp_ucb_scale_1p5,weighted_kernel:transfer_weighted_gp_ucb_scale_1p5,50,25,25,91.4146,8.413,83.2862,11.0284,0.26,0.4386,174.9608,92.5309,7.1751,87.1369,7.0909,0.32,0.4665,179.9878,90.2983,9.3585,79.4356,12.7794,0.2,0.4,169.9339
real_suzuki_miyaura,real_buchwald_hartwig,weighted_kernel,transfer_weighted_gp_ucb_scale_2,weighted_kernel:transfer_weighted_gp_ucb_scale_2,50,25,25,90.4716,10.088,82.6653,11.8589,0.26,0.4386,173.3969,92.156,7.2218,87.086,7.1867,0.32,0.4665,179.562,88.7872,12.0709,78.2446,13.8033,0.2,0.4,167.2318
real_suzuki_miyaura,real_buchwald_hartwig,weighted_kernel,transfer_weighted_gp_ucb_scale_4,weighted_kernel:transfer_weighted_gp_ucb_scale_4,50,25,25,91.4524,8.5665,82.102,12.3684,0.26,0.4386,173.8144,92.4114,6.459,86.7897,7.1029,0.32,0.4665,179.5211,90.4934,10.1593,77.4143,14.5449,0.2,0.4,168.1077
real_suzuki_miyaura,real_chemlex_acidamine,hybrid_gp,hybrid_transfer_gp_ucb_gate_v1,hybrid_gp:hybrid_transfer_gp_ucb_gate_v1,50,25,25,88.0795,17.6799,79.5694,21.3237,0.0,0.0,167.6489,86.9738,21.2899,81.4644,21.8666,0.0,0.0,168.4382,89.1852,13.0175,77.6744,20.5929,0.0,0.0,166.8596
real_suzuki_miyaura,real_chemlex_acidamine,hybrid_gp,hybrid_transfer_gp_ucb_no_gate,hybrid_gp:hybrid_transfer_gp_ucb_no_gate,50,25,25,87.7189,17.629,79.3924,21.4428,0.0,0.0,167.1113,87.0734,21.3429,81.4471,21.865,0.0,0.0,168.5205,88.3644,12.8536,77.3376,20.8102,0.0,0.0,165.702
real_suzuki_miyaura,real_chemlex_acidamine,hybrid_gp,hybrid_value_prior_gp_ucb_adaptive_gate_v1,hybrid_gp:hybrid_value_prior_gp_ucb_adaptive_gate_v1,50,25,25,88.0795,17.6799,79.5694,21.3237,0.0,0.0,167.6489,86.9738,21.2899,81.4644,21.8666,0.0,0.0,168.4382,89.1852,13.0175,77.6744,20.5929,0.0,0.0,166.8596
real_suzuki_miyaura,real_chemlex_acidamine,hybrid_gp,hybrid_value_prior_gp_ucb_gate_v1,hybrid_gp:hybrid_value_prior_gp_ucb_gate_v1,50,25,25,88.0795,17.6799,79.5694,21.3237,0.0,0.0,167.6489,86.9738,21.2899,81.4644,21.8666,0.0,0.0,168.4382,89.1852,13.0175,77.6744,20.5929,0.0,0.0,166.8596
real_suzuki_miyaura,real_chemlex_acidamine,hybrid_gp,hybrid_value_prior_gp_ucb_strict_gate_v1,hybrid_gp:hybrid_value_prior_gp_ucb_strict_gate_v1,50,25,25,88.0795,17.6799,79.5694,21.3237,0.0,0.0,167.6489,86.9738,21.2899,81.4644,21.8666,0.0,0.0,168.4382,89.1852,13.0175,77.6744,20.5929,0.0,0.0,166.8596
