source_datasets,target_dataset,mode,seed,initial_observations,reveal_rounds,final_best,best_so_far_auc,simple_regret,top10_hit,source_task_count,source_observations,experiment_id
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_rgpe,81014,3,12,99.8,99.158333,0.0,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_icm_bma,81014,3,12,99.8,99.441667,0.0,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_skill_prior,81014,3,12,99.8,99.675,0.0,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,development_selected_route,81014,3,12,99.8,99.533333,0.0,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,target_gp_ucb,81015,3,12,99.8,98.45,0.0,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_rgpe,81015,3,12,94.4,94.4,5.4,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_icm_bma,81015,3,12,99.8,98.45,0.0,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_skill_prior,81015,3,12,99.8,98.9,0.0,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,development_selected_route,81015,3,12,99.8,98.45,0.0,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,target_gp_ucb,81016,3,12,99.8,94.45,0.0,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_rgpe,81016,3,12,94.1,93.525,5.7,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_icm_bma,81016,3,12,95.5,92.108333,4.3,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_skill_prior,81016,3,12,94.1,93.908333,5.7,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,development_selected_route,81016,3,12,99.8,94.45,0.0,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,target_gp_ucb,81017,3,12,94.5,91.533333,5.3,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_rgpe,81017,3,12,94.1,88.391667,5.7,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_icm_bma,81017,3,12,95.5,88.466667,4.3,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_skill_prior,81017,3,12,88.4,86.675,11.4,0,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,development_selected_route,81017,3,12,94.5,91.533333,5.3,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,target_gp_ucb,81018,3,12,99.8,92.858333,0.0,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_rgpe,81018,3,12,94.1,92.45,5.7,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_icm_bma,81018,3,12,94.1,92.45,5.7,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,multisource_skill_prior,81018,3,12,94.1,92.05,5.7,1,3,288,reizman_cases_123_to_case4
real_reizman_suzuki_case_1;real_reizman_suzuki_case_2;real_reizman_suzuki_case_3,real_reizman_suzuki_case_4,development_selected_route,81018,3,12,99.8,92.858333,0.0,1,3,288,reizman_cases_123_to_case4
