condition,permutation_seed,auc_mean_delta,auc_ci95_low,auc_ci95_high,final_mean_delta,final_ci95_low,final_ci95_high,top10_mean_delta,top10_ci95_low,top10_ci95_high,wins,ties,losses
permuted_source_outcomes_99764,99764,-0.05747631789638137,-0.08123451041652177,-0.03371812537624097,-0.12228548139948836,-0.16595994489958008,-0.07861101789939665,0.0,0.0,0.0,30,24,46
permuted_source_outcomes_99765,99765,-0.030782647380021153,-0.056398059861362766,-0.00516723489867954,-0.005883459083651395,-0.0687170400047284,0.056950121837425614,0.0,0.0,0.0,36,23,41
permuted_source_outcomes_99766,99766,0.26305799981235767,0.22434032374014984,0.3017756758845655,0.3040409103560615,0.2500119177441971,0.3580699029679259,0.0,0.0,0.0,80,13,7
permuted_source_outcomes_99767,99767,-0.06985701735425798,-0.09378979759555509,-0.04592423711296086,-0.14111470334342655,-0.18474313840070977,-0.0974862682861433,0.0,0.0,0.0,4,37,59
permuted_source_outcomes_99768,99768,0.052726446155524576,0.02376652265967899,0.08168636965137016,0.024365066785502737,-0.021258130184450205,0.06998826375545568,0.0,0.0,0.0,49,21,30
permuted_source_outcomes_99769,99769,-0.057852441671323,-0.08222562846614513,-0.03347925487650087,-0.11477662362249713,-0.15938335900686323,-0.07016988823813104,0.0,0.0,0.0,27,29,44
permuted_source_outcomes_99770,99770,0.2426297711506615,0.19984473905007208,0.2854148032512509,0.3915797438707258,0.3233876095896739,0.4597718781517777,0.0,0.0,0.0,83,10,7
permuted_source_outcomes_99771,99771,0.11569951515827075,0.07967692032177,0.15172210999477148,0.09585561624869136,0.03982672220801788,0.15188451028936484,0.0,0.0,0.0,69,15,16
permuted_source_outcomes_99772,99772,-0.0389037641108986,-0.06476399873455085,-0.01304352948724636,0.00820492436049343,-0.05862701040663151,0.07503685912761837,0.0,0.0,0.0,34,23,43
permuted_source_outcomes_99773,99773,-0.05068603890114813,-0.07533226606040963,-0.026039811741886635,-0.10256438384820639,-0.14780474184840417,-0.0573240258480086,0.0,0.0,0.0,37,24,39
permuted_source_outcomes_99774,99774,-0.030279112861262752,-0.05818835038665908,-0.0023698753358664254,-0.0357254664540322,-0.08950137497559518,0.018050442067530793,0.0,0.0,0.0,36,26,38
permuted_source_outcomes_99775,99775,-0.07069355349149324,-0.09487949967139019,-0.0465076073115963,-0.14030456969594107,-0.184233309990023,-0.09637582940185915,0.0,0.0,0.0,3,40,57
permuted_source_outcomes_99776,99776,0.06129003171304108,0.03145190622467621,0.09112815720140595,0.041464845604855104,-0.008353584712485297,0.09128327592219551,0.0,0.0,0.0,59,19,22
permuted_source_outcomes_99777,99777,-0.051925211415297746,-0.07581890089397461,-0.028031521936620885,-0.08183170238341324,-0.1253419335500348,-0.03832147121679166,0.0,0.0,0.0,22,31,47
permuted_source_outcomes_99778,99778,-0.043448249607568226,-0.06872040245016627,-0.01817609676497019,-0.08478940298772654,-0.1301260779446484,-0.03945272803080469,0.0,0.0,0.0,33,25,42
permuted_source_outcomes_99779,99779,-0.03870037403971805,-0.06504656758791945,-0.012354180491516653,-0.07910604713448825,-0.12662868159812504,-0.031583412670851456,0.0,0.0,0.0,32,29,39
permuted_source_outcomes_99780,99780,0.06729851638312102,0.01416980515519762,0.12042722761104444,0.1529160129744661,0.06790980663512669,0.23792221931380553,0.13,0.0637524568780323,0.1962475431219677,42,19,39
permuted_source_outcomes_99781,99781,-0.05816803540040118,-0.08241961130932977,-0.03391645949147258,-0.11717281571753105,-0.1613903406570824,-0.07295529077797969,0.0,0.0,0.0,16,35,49
permuted_source_outcomes_99782,99782,-0.03951850077958425,-0.06586341903946973,-0.013173582519698777,-0.011580014599585882,-0.08137738689947124,0.05821735770029948,0.0,0.0,0.0,35,23,42
permuted_source_outcomes_99783,99783,-0.05142417323691248,-0.07630038091560348,-0.026547965558221483,-0.10405669208938,-0.1486524103669237,-0.0594609738118363,0.0,0.0,0.0,31,26,43
permuted_source_outcomes_99784,99784,0.10047794505575579,0.056766805193667044,0.14418908491784455,0.12000176880953305,0.05149431742600072,0.18850922019306537,0.0,0.0,0.0,52,22,26
permuted_source_outcomes_99785,99785,-0.007146575610484773,-0.045083118853312454,0.030789967632342905,-0.01580844941791728,-0.08502021121879999,0.05340331238296544,0.0,0.0,0.0,43,20,37
permuted_source_outcomes_99786,99786,-0.031463494567919234,-0.06085262371728592,-0.0020743654185525484,-0.05549668632291535,-0.10834189994867513,-0.0026514726971555783,0.0,0.0,0.0,27,31,42
permuted_source_outcomes_99787,99787,-0.06678769177019957,-0.09072768218102437,-0.04284770135937477,-0.12298920507328387,-0.17178813804628754,-0.0741902721002802,0.0,0.0,0.0,16,33,51
permuted_source_outcomes_99788,99788,0.06783476488682859,0.016232135364607055,0.11943739440905013,0.03102502358345765,-0.03811016748771424,0.10016021465462954,0.0,0.0,0.0,43,24,33
permuted_source_outcomes_99789,99789,-0.005808403605082649,-0.032525134359438046,0.020908327149272744,-0.018751979170272496,-0.0694894044163771,0.031985446075832105,0.0,0.0,0.0,43,24,33
permuted_source_outcomes_99790,99790,-0.06750126959980335,-0.09156231995236117,-0.04344021924724553,-0.1372629307783103,-0.18073669456574526,-0.09378916699087536,0.0,0.0,0.0,12,35,53
permuted_source_outcomes_99791,99791,-0.04478654237027799,-0.07189903569822169,-0.01767404904233429,-0.09105713850007112,-0.14275275065965362,-0.03936152634048861,0.0,0.0,0.0,27,30,43
permuted_source_outcomes_99792,99792,-0.041266483230191706,-0.06956821934826385,-0.012964747112119555,-0.055557004536800146,-0.1147844121757396,0.0036704031021393135,0.0,0.0,0.0,31,24,45
permuted_source_outcomes_99793,99793,-0.014760173750711241,-0.04031599753809734,0.010795650036674851,-0.029992651096575895,-0.07991820971300795,0.019932907519856165,0.0,0.0,0.0,43,24,33
permuted_source_outcomes_99794,99794,-0.06262367590495152,-0.08609533851738987,-0.039152013292513166,-0.11586206806318607,-0.16076821013759995,-0.07095592598877218,0.0,0.0,0.0,19,33,48
permuted_source_outcomes_99795,99795,-0.05551628878954826,-0.07788156159388997,-0.03315101598520655,-0.07722524310729387,-0.125111995179422,-0.029338491035165726,0.0,0.0,0.0,27,27,46
permuted_source_outcomes_99796,99796,0.06456068163504058,0.03819539294303534,0.09092597032704583,0.04641766834346446,0.0033137959031699707,0.08952154078375896,0.0,0.0,0.0,69,13,18
permuted_source_outcomes_99797,99797,-0.053521038752605,-0.07800394334689831,-0.029038134158311697,-0.04176448157733146,-0.08781683620163383,0.004287873046970904,0.0,0.0,0.0,29,25,46
permuted_source_outcomes_99798,99798,0.016912294907204698,-0.01522139710075832,0.04904598691516772,0.018747257095743094,-0.04214600076142794,0.07964051495291413,0.0,0.0,0.0,44,25,31
true_source_outcomes,,0.8848309022366452,0.8050876529453866,0.9645741515279037,0.895930065323253,0.803619862713857,0.9882402679326491,0.49,0.3915259948160445,0.5884740051839554,97,3,0
