source_datasets,target_dataset,mode,seed,initial_observations,reveal_rounds,final_best,best_so_far_auc,simple_regret,top10_hit,source_task_count,source_observations
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94143,3,12,90.5524,90.5524,1.051,1,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94143,3,12,66.2415,63.321858,25.3619,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94143,3,12,41.86,39.290375,49.7434,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94143,3,12,34.7592,29.131808,56.8442,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94144,3,12,85.1743,75.11035,6.4291,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94144,3,12,66.2415,63.321858,25.3619,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94144,3,12,40.5457,38.375275,51.0577,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94144,3,12,32.0201,29.194167,59.5833,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94145,3,12,81.7276,66.2313,9.8758,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94145,3,12,66.2415,63.321858,25.3619,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94145,3,12,91.0347,84.08305,0.5687,1,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94145,3,12,31.8429,27.716783,59.7605,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94146,3,12,45.5251,45.46345,46.0783,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94146,3,12,66.2415,63.83545,25.3619,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94146,3,12,45.6558,41.870883,45.9476,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94146,3,12,37.3689,37.3689,54.2345,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94147,3,12,74.0807,74.0807,17.5227,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94147,3,12,66.2415,63.839008,25.3619,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94147,3,12,74.0807,71.024942,17.5227,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94147,3,12,66.8332,59.4778,24.7702,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94148,3,12,91.6034,81.035942,0.0,1,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94148,3,12,66.2415,63.321858,25.3619,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94148,3,12,91.6034,91.508617,0.0,1,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94148,3,12,34.7592,30.143192,56.8442,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,target_gp_ucb,94149,3,12,52.0229,40.2221,39.5805,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_rgpe,94149,3,12,66.2415,63.321858,25.3619,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_icm_bma,94149,3,12,63.2281,63.2281,28.3753,0,1,512
real_flip2_hydro_p0a9x9,real_flip2_hydro_p01053,multisource_skill_prior,94149,3,12,41.5057,32.070292,50.0977,0,1,512
